0,1,2,3
80870489.0,15779592,2000,2026-02-27T23:48:53Z
80870480.0,16093810,300,2026-02-27T23:48:53Z
80870480.0,18429545,13500,2026-02-27T23:48:53Z
80870480.0,16544002,2000,2026-02-27T23:48:53Z
80870471.0,16093810,300,2026-02-27T23:48:53Z
80870471.0,18429545,13500,2026-02-27T23:48:53Z
80870471.0,16544002,2500,2026-02-27T23:48:53Z
80870463.0,16093810,300,2026-02-27T23:48:53Z
80870463.0,18429545,14000,2026-02-27T23:48:53Z
80870463.0,16544002,1500,2026-02-27T23:48:53Z
80870452.0,15779592,1500,2026-02-27T23:48:53Z
80870452.0,16093810,400,2026-02-27T23:48:53Z
80870452.0,18429545,14000,2026-02-27T23:48:53Z
80870452.0,16544002,2000,2026-02-27T23:48:53Z
80870442.0,16093810,1000,2026-02-27T23:48:53Z
80870442.0,18429545,8500,2026-02-27T23:48:53Z
80870442.0,16544002,3500,2026-02-27T23:48:53Z
80870442.0,15779592,1700,2026-02-27T23:48:53Z
80870433.0,16093810,300,2026-02-27T23:48:53Z
80870433.0,18429545,5000,2026-02-27T23:48:53Z
80870433.0,16544003,1200,2026-02-27T23:48:53Z
80870425.0,16093810,300,2026-02-27T23:48:53Z
80870425.0,18429545,9500,2026-02-27T23:48:53Z
80870425.0,16544002,2500,2026-02-27T23:48:53Z
80870419.0,18429545,2000,2026-02-27T23:48:53Z
80870419.0,16544002,1100,2026-02-27T23:48:53Z
80870409.0,16093810,300,2026-02-27T23:48:53Z
80870409.0,18429545,5000,2026-02-27T23:48:53Z
80870409.0,16544002,1000,2026-02-27T23:48:53Z
80870409.0,16544003,1200,2026-02-27T23:48:53Z
80870398.0,15779592,1500,2026-02-27T23:48:53Z
80870398.0,16093810,300,2026-02-27T23:48:53Z
80870398.0,18429545,14000,2026-02-27T23:48:53Z
80870398.0,16544002,2500,2026-02-27T23:48:53Z
80870390.0,16093810,300,2026-02-27T23:48:53Z
80870390.0,18429545,13500,2026-02-27T23:48:53Z
80870390.0,16544002,2500,2026-02-27T23:48:53Z
80870380.0,16093810,300,2026-02-27T23:48:53Z
80870380.0,18429545,5000,2026-02-27T23:48:53Z
80870380.0,16544002,1500,2026-02-27T23:48:53Z
80870380.0,16544003,1200,2026-02-27T23:48:53Z
80870373.0,16093810,0,2026-02-27T23:48:53Z
80870373.0,18429545,2800,2026-02-27T23:48:53Z
80870364.0,16093810,300,2026-02-27T23:48:53Z
80870364.0,18429545,13500,2026-02-27T23:48:53Z
80870364.0,16544002,2000,2026-02-27T23:48:53Z
80870356.0,16093810,1000,2026-02-27T23:48:53Z
